,SWDOWN,SWDDNI,SWDDIF,SWDOWN_CLEAR,T2,U10,V10
2017-08-27 06:00:00,0.0,0.0,0.0,0.0,293.904815674,0.305554300547,-1.18740570545
2017-08-27 06:15:00,0.0,0.0,0.0,0.0,293.509460449,0.482198506594,-1.35164558887
2017-08-27 06:30:00,0.0,0.0,0.0,0.0,293.49786377,0.59149646759,-1.42449963093
2017-08-27 06:45:00,0.0,0.0,0.0,0.0,293.473602295,0.897541642189,-1.27124881744
2017-08-27 07:00:00,0.0,0.0,0.0,0.0,293.446136475,1.02983832359,-1.18605101109
2017-08-27 07:15:00,0.0,0.0,0.0,0.0,293.344848633,1.34803044796,-1.50737082958
2017-08-27 07:30:00,0.0,0.0,0.0,0.0,293.165710449,1.61598241329,-1.7046340704
2017-08-27 07:45:00,0.0,0.0,0.0,0.0,292.969055176,1.81022238731,-1.7500821352
2017-08-27 08:00:00,0.0,0.0,0.0,0.0,292.75680542,1.86341142654,-1.85232162476
2017-08-27 08:15:00,0.0,0.0,0.0,0.0,292.560455322,1.78678178787,-1.95440900326
2017-08-27 08:30:00,0.0,0.0,0.0,0.0,292.431793213,1.50649094582,-1.84877097607
2017-08-27 08:45:00,0.0,0.0,0.0,0.0,292.32434082,1.65022671223,-1.75667119026
2017-08-27 09:00:00,0.0,0.0,0.0,0.0,292.259155273,1.72313976288,-1.67447185516
2017-08-27 09:15:00,0.0,0.0,0.0,0.0,292.227203369,1.80090582371,-1.70755064487
2017-08-27 09:30:00,0.0,0.0,0.0,0.0,292.183990479,1.83545827866,-1.84051406384
2017-08-27 09:45:00,0.0,0.0,0.0,0.0,292.107147217,1.78922998905,-2.10299706459
2017-08-27 10:00:00,0.0,0.0,0.0,0.0,292.002471924,1.79532372952,-2.19403719902
2017-08-27 10:15:00,0.0,0.0,0.0,0.0,291.925354004,1.78321111202,-2.08909130096
2017-08-27 10:30:00,0.0,0.0,0.0,0.0,291.876525879,1.74209535122,-2.11535906792
2017-08-27 10:45:00,0.0,0.0,0.0,0.0,291.827331543,1.64177584648,-2.1052570343
2017-08-27 11:00:00,0.0,0.0,0.0,0.0,291.781494141,1.70734000206,-2.2147758007
2017-08-27 11:15:00,0.0,0.0,0.0,0.0,291.740570068,1.82523977757,-2.34200835228
2017-08-27 11:30:00,0.0,0.0,0.0,0.0,291.703521729,1.9387370348,-2.43010592461
2017-08-27 11:45:00,0.0,0.0,0.0,0.0,291.659545898,1.96755111217,-2.43616890907
2017-08-27 12:00:00,0.0,0.0,0.0,0.0,291.61026001,1.95293486118,-2.47703027725
2017-08-27 12:15:00,0.0,0.0,0.0,0.0,291.541412354,1.97363173962,-2.56865143776
2017-08-27 12:30:00,0.0,0.0,0.0,0.0,291.488830566,1.89419937134,-2.565346241
2017-08-27 12:45:00,0.0,0.0,0.0,0.0,291.447021484,1.82636940479,-2.56038951874
2017-08-27 13:00:00,0.0,0.0,0.0,0.0,291.4090271,1.78887212276,-2.61887145042
2017-08-27 13:15:00,0.0,0.0,0.0,0.0,291.39743042,1.69896268845,-2.57716274261
2017-08-27 13:30:00,1.14760482311,0.0,1.57271432877,1.84958851337,291.38961792,1.58673644066,-2.52570319176
2017-08-27 13:45:00,16.7670249939,0.0,18.758852005,29.7572059631,291.424743652,1.51853644848,-2.47792553902
2017-08-27 14:00:00,39.1396179199,0.00405909446999,42.1069946289,68.6689987183,291.522155762,1.49422204494,-2.55601763725
2017-08-27 14:15:00,69.4901351929,0.651482880116,72.9152832031,115.122962952,291.668701172,1.27302885056,-2.61583328247
2017-08-27 14:30:00,111.080024719,11.5336790085,108.493362427,166.169662476,291.848205566,1.19553387165,-2.58906078339
2017-08-27 14:45:00,169.018768311,133.047134399,132.010971069,219.713226318,292.074768066,1.47474229336,-2.51471114159
2017-08-27 15:00:00,231.700332642,275.30569458,140.68447876,274.184509277,292.300415039,1.76265788078,-2.44108533859
2017-08-27 15:15:00,295.03793335,393.964202881,144.357757568,329.764678955,292.522277832,1.89083850384,-2.35035228729
2017-08-27 15:30:00,369.79397583,568.736450195,123.371833801,385.487121582,292.80645752,1.93470168114,-2.36416053772
2017-08-27 15:45:00,440.467926025,708.194030762,98.7160720825,440.538360596,293.11428833,1.96665883064,-2.3876080513
2017-08-27 16:00:00,494.158599854,735.111816406,104.579185486,494.231689453,293.476593018,1.95409321785,-2.29638075829
2017-08-27 16:15:00,546.604125977,758.396850586,110.013557434,546.679504395,293.863494873,1.97826814651,-2.20818352699
2017-08-27 16:30:00,596.836669922,778.449523926,114.991210938,596.9140625,294.296722412,2.06433224678,-2.14215731621
2017-08-27 16:45:00,644.71282959,795.757202148,119.563354492,644.791931152,294.763397217,2.06447267532,-2.04027104378
2017-08-27 17:00:00,689.723999023,810.624938965,123.729675293,689.8046875,295.212127686,2.13570165634,-1.98869013786
2017-08-27 17:15:00,731.872070312,823.509277344,127.526145935,731.954101562,295.616699219,2.34066605568,-2.00163340569
2017-08-27 17:30:00,770.936218262,834.658325195,130.963027954,771.019470215,295.979156494,2.59442257881,-2.03377842903
2017-08-27 17:45:00,806.562133789,844.204528809,134.037307739,806.646484375,296.272521973,2.77962255478,-2.06735539436
2017-08-27 18:00:00,838.609924316,852.387817383,136.753295898,838.695129395,296.49029541,2.97847914696,-2.1340572834
2017-08-27 18:15:00,866.781311035,859.226501465,139.109420776,866.8671875,296.604553223,3.19549894333,-2.19193148613
2017-08-27 18:30:00,891.030456543,864.89050293,141.110153198,891.117004395,296.664367676,3.41824698448,-2.25032424927
2017-08-27 18:45:00,911.211303711,869.481262207,142.753662109,911.298400879,296.686096191,3.59332442284,-2.33525300026
2017-08-27 19:00:00,927.176452637,873.013244629,144.045166016,927.263977051,296.668609619,3.72411298752,-2.4070084095
2017-08-27 19:15:00,935.425048828,874.79510498,144.709701538,935.512756348,296.632568359,3.83131074905,-2.46693968773
2017-08-27 19:30:00,944.155944824,876.636535645,145.410903931,944.243835449,296.617614746,3.8908700943,-2.5190141201
2017-08-27 19:45:00,948.492797852,877.51940918,145.757507324,948.580810547,296.642669678,3.9274020195,-2.58252501488
2017-08-27 20:00:00,948.381713867,877.427185059,145.744888306,948.469665527,296.613189697,3.97773504257,-2.65652775764
2017-08-27 20:15:00,943.864257812,876.400939941,145.376647949,943.952148438,296.549102783,4.01305341721,-2.71401119232
2017-08-27 20:30:00,934.989929199,874.453063965,144.655303955,935.077575684,296.487915039,4.05873680115,-2.76167082787
2017-08-27 20:45:00,921.799499512,871.549438477,143.583053589,921.886779785,296.428009033,4.0879368782,-2.80201268196
2017-08-27 21:00:00,904.425842285,867.725524902,142.157897949,904.512756348,296.393920898,4.05356740952,-2.82391285896
2017-08-27 21:15:00,882.978149414,862.94934082,140.380889893,883.064453125,296.375579834,3.96619486809,-2.83491206169
2017-08-27 21:30:00,857.49230957,857.067993164,138.248046875,857.577941895,296.395263672,3.88143181801,-2.84609603882
2017-08-27 21:45:00,828.051757812,849.931396484,135.75402832,828.13659668,296.407867432,3.78009533882,-2.86161112785
2017-08-27 22:00:00,794.806213379,841.401123047,132.902816772,794.890075684,296.439361572,3.68574047089,-2.88020515442
2017-08-27 22:15:00,757.976806641,831.371887207,129.695053101,758.059570312,296.469848633,3.62533640862,-2.89872741699
2017-08-27 22:30:00,717.825744629,819.734313965,126.127815247,717.907348633,296.466552734,3.62358880043,-2.92423200607
2017-08-27 22:45:00,674.577209473,806.265441895,122.191856384,674.657348633,296.415344238,3.68769669533,-2.93114733696
2017-08-27 23:00:00,628.50579834,790.720947266,117.877128601,628.584350586,296.3253479,3.77775669098,-2.92525362968
2017-08-27 23:15:00,579.893005371,772.753662109,113.172958374,579.969726562,296.17199707,3.84949564934,-2.92389035225
2017-08-27 23:30:00,529.03704834,751.908325195,108.058120728,529.111755371,295.968505859,3.86139559746,-2.89403700829
2017-08-27 23:45:00,476.271942139,727.593322754,102.504966736,476.344238281,295.756469727,3.80173683167,-2.84783673286
2017-08-28 00:00:00,422.001983643,699.101196289,96.4733734131,422.071594238,295.5440979,3.74065518379,-2.80418348312
2017-08-28 00:15:00,366.724212646,665.577392578,89.9100723267,366.790710449,295.312255859,3.65703320503,-2.78779864311
2017-08-28 00:30:00,310.950195312,625.743286133,82.7379455566,311.013031006,295.099456787,3.53819656372,-2.79891777039
2017-08-28 00:45:00,255.308166504,577.910583496,74.8385772705,255.366699219,294.903045654,3.39863634109,-2.817091465
2017-08-28 01:00:00,200.562866211,519.735839844,66.0277023315,200.616271973,294.732574463,3.25214266777,-2.83601856232
2017-08-28 01:15:00,147.716934204,448.04675293,56.0197219849,147.764022827,294.596435547,3.11737465858,-2.87033104897
2017-08-28 01:30:00,114.207199097,390.798797607,48.4656600952,114.249267578,294.487030029,2.9703168869,-2.89434218407
2017-08-28 01:45:00,67.9295425415,287.605712891,35.347946167,67.9624633789,294.349975586,2.77671194077,-2.91638255119
2017-08-28 02:00:00,28.6587619781,154.87727356,19.6417217255,28.6797561646,294.197845459,2.55033993721,-2.89244437218
2017-08-28 02:15:00,0.986448287964,0.0,1.26914691925,0.988314390182,294.034973145,2.29745340347,-2.80836391449
2017-08-28 02:30:00,0.0,0.0,0.0,0.0,293.934020996,2.03084445,-2.76610779762
2017-08-28 02:45:00,0.0,0.0,0.0,0.0,293.859741211,1.83196020126,-2.73287153244
2017-08-28 03:00:00,0.0,0.0,0.0,0.0,293.818969727,1.73469519615,-2.65870571136
2017-08-28 03:15:00,0.0,0.0,0.0,0.0,293.780548096,1.74207961559,-2.56261301041
2017-08-28 03:30:00,0.0,0.0,0.0,0.0,293.727996826,1.82338416576,-2.49640727043
2017-08-28 03:45:00,0.0,0.0,0.0,0.0,293.655517578,1.91663873196,-2.46319150925
2017-08-28 04:00:00,0.0,0.0,0.0,0.0,293.554199219,2.00651288033,-2.44034934044
2017-08-28 04:15:00,0.0,0.0,0.0,0.0,293.446289062,2.02050185204,-2.40844154358
2017-08-28 04:30:00,0.0,0.0,0.0,0.0,293.341094971,1.96888577938,-2.35486245155
2017-08-28 04:45:00,0.0,0.0,0.0,0.0,293.250488281,1.9332202673,-2.28989315033
2017-08-28 05:00:00,0.0,0.0,0.0,0.0,293.148986816,1.90119981766,-2.26735568047
2017-08-28 05:15:00,0.0,0.0,0.0,0.0,293.008880615,1.88467979431,-2.25496292114
2017-08-28 05:30:00,0.0,0.0,0.0,0.0,292.846618652,1.87617981434,-2.25696086884
2017-08-28 05:45:00,0.0,0.0,0.0,0.0,292.686187744,1.78070771694,-2.19554901123
2017-08-28 06:00:00,0.0,0.0,0.0,0.0,292.543212891,1.71072375774,-2.09132170677
2017-08-28 06:15:00,0.0,0.0,0.0,0.0,292.421417236,1.66169941425,-1.96641814709
