,SWDOWN,SWDDNI,SWDDIF,SWDOWN_CLEAR,T2,U10,V10
2017-07-03 06:00:00,0.0,0.0,0.0,0.0,290.21105957,0.871599555016,-0.527560412884
2017-07-03 06:15:00,0.0,0.0,0.0,0.0,289.308807373,1.28619623184,-0.782844305038
2017-07-03 06:30:00,0.0,0.0,0.0,0.0,289.303375244,1.27183544636,-0.825687229633
2017-07-03 06:45:00,0.0,0.0,0.0,0.0,289.222351074,1.53393614292,-0.751931190491
2017-07-03 07:00:00,0.0,0.0,0.0,0.0,289.18057251,1.57632625103,-0.640269219875
2017-07-03 07:15:00,0.0,0.0,0.0,0.0,289.099243164,1.77730095387,-0.577429711819
2017-07-03 07:30:00,0.0,0.0,0.0,0.0,289.009765625,2.12809300423,-0.799059689045
2017-07-03 07:45:00,0.0,0.0,0.0,0.0,288.920684814,2.13635826111,-0.765279054642
2017-07-03 08:00:00,0.0,0.0,0.0,0.0,288.847015381,2.02611970901,-1.0587939024
2017-07-03 08:15:00,0.0,0.0,0.0,0.0,288.742950439,2.09505772591,-0.762172162533
2017-07-03 08:30:00,0.0,0.0,0.0,0.0,288.74710083,1.9773452282,-0.77936565876
2017-07-03 08:45:00,0.0,0.0,0.0,0.0,288.739959717,1.95473790169,-0.653041124344
2017-07-03 09:00:00,0.0,0.0,0.0,0.0,288.711883545,1.79181826115,-0.841268897057
2017-07-03 09:15:00,0.0,0.0,0.0,0.0,288.675506592,1.76047718525,-0.776665985584
2017-07-03 09:30:00,0.0,0.0,0.0,0.0,288.624237061,1.836145401,-0.746372580528
2017-07-03 09:45:00,0.0,0.0,0.0,0.0,288.559509277,1.78926670551,-0.752558350563
2017-07-03 10:00:00,0.0,0.0,0.0,0.0,288.509979248,1.78124523163,-0.745553970337
2017-07-03 10:15:00,0.0,0.0,0.0,0.0,288.471710205,1.80985534191,-0.760981321335
2017-07-03 10:30:00,0.0,0.0,0.0,0.0,288.429229736,1.77235591412,-0.814375042915
2017-07-03 10:45:00,0.0,0.0,0.0,0.0,288.389160156,1.77553188801,-0.74456679821
2017-07-03 11:00:00,0.0,0.0,0.0,0.0,288.343261719,1.65421617031,-0.646928966045
2017-07-03 11:15:00,0.0,0.0,0.0,0.0,288.301391602,1.52891325951,-0.520079314709
2017-07-03 11:30:00,0.0,0.0,0.0,0.0,288.261505127,1.38989746571,-0.433955222368
2017-07-03 11:45:00,0.0,0.0,0.0,0.0,288.221099854,1.30188417435,-0.349134922028
2017-07-03 12:00:00,0.0,0.0,0.0,0.0,288.183563232,1.21460223198,-0.309719413519
2017-07-03 12:15:00,0.0,0.0,0.0,0.0,288.145751953,1.09684216976,-0.345403850079
2017-07-03 12:30:00,0.0,0.0,0.0,0.0,288.109222412,0.973732113838,-0.266428053379
2017-07-03 12:45:00,0.0,0.0,0.0,0.0,288.084442139,0.878475785255,-0.208569481969
2017-07-03 13:00:00,8.2385635376,0.0,9.46895027161,12.588727951,288.03918457,0.735503911972,-0.14174246788
2017-07-03 13:15:00,27.0636539459,0.000280311563984,29.4232311249,44.3994178772,288.014770508,0.655232310295,-0.0520469024777
2017-07-03 13:30:00,50.1324157715,0.0728522762656,53.3433952332,84.0937728882,288.022216797,0.66283172369,-0.0191165003926
2017-07-03 13:45:00,77.6913299561,0.931626081467,81.1528091431,129.418945312,288.052337646,0.673034012318,0.0147020304576
2017-07-03 14:00:00,111.85585022,5.09055614471,113.047714233,178.649398804,288.114532471,0.676260888577,0.0343063287437
2017-07-03 14:15:00,155.140258789,32.5144577026,145.893066406,230.490600586,288.192443848,0.667426347733,0.0565093122423
2017-07-03 14:30:00,211.520614624,121.094947815,170.921234131,284.00402832,288.292022705,0.664178788662,0.0765350162983
2017-07-03 14:45:00,283.086242676,284.04006958,173.562744141,338.472473145,288.420776367,0.710287570953,0.0939082950354
2017-07-03 15:00:00,345.230957031,382.546875,178.765808105,393.270782471,288.571899414,0.773597180843,0.0918588042259
2017-07-03 15:15:00,421.904144287,555.341247559,153.271774292,447.889129639,288.756164551,0.838827371597,0.0966525822878
2017-07-03 15:30:00,500.956970215,742.842895508,106.430145264,501.969970703,288.988708496,0.88646197319,0.133747786283
2017-07-03 15:45:00,555.020141602,772.15435791,109.426498413,555.096374512,289.360229492,0.979336380959,0.16078196466
2017-07-03 16:00:00,606.761352539,792.21307373,114.44380188,606.839599609,289.749725342,1.08006429672,0.15558026731
