,SWDOWN,SWDDNI,SWDDIF,SWDOWN_CLEAR,T2,U10,V10
2017-06-25 06:00:00,0.0,0.0,0.0,0.0,292.327972412,0.369330585003,0.0352898538113
2017-06-25 06:15:00,0.0,0.0,0.0,0.0,292.196685791,0.434898465872,0.308254182339
2017-06-25 06:30:00,0.0,0.0,0.0,0.0,292.194091797,1.3318502903,0.191682800651
2017-06-25 06:45:00,0.0,0.0,0.0,0.0,292.074859619,1.79103326797,0.0679495483637
2017-06-25 07:00:00,0.0,0.0,0.0,0.0,291.968933105,1.91196799278,-0.163909181952
2017-06-25 07:15:00,0.0,0.0,0.0,0.0,291.833068848,1.96467328072,-0.576384603977
2017-06-25 07:30:00,0.0,0.0,0.0,0.0,291.590393066,2.124522686,-0.859356582165
2017-06-25 07:45:00,0.0,0.0,0.0,0.0,291.314147949,2.15031385422,-1.06924545765
2017-06-25 08:00:00,0.0,0.0,0.0,0.0,291.016448975,2.10317873955,-1.12296068668
2017-06-25 08:15:00,0.0,0.0,0.0,0.0,290.754455566,1.97862708569,-1.06028664112
2017-06-25 08:30:00,0.0,0.0,0.0,0.0,290.563446045,1.81732475758,-1.04713475704
2017-06-25 08:45:00,0.0,0.0,0.0,0.0,290.435180664,1.77750766277,-1.01197147369
2017-06-25 09:00:00,0.0,0.0,0.0,0.0,290.362487793,1.85789382458,-1.15866994858
2017-06-25 09:15:00,0.0,0.0,0.0,0.0,290.273406982,1.94370937347,-1.37204194069
2017-06-25 09:30:00,0.0,0.0,0.0,0.0,290.203613281,1.82615876198,-1.38588654995
2017-06-25 09:45:00,0.0,0.0,0.0,0.0,290.150115967,1.63166105747,-1.27012014389
2017-06-25 10:00:00,0.0,0.0,0.0,0.0,290.112030029,1.46557211876,-1.18772792816
2017-06-25 10:15:00,0.0,0.0,0.0,0.0,290.071014404,1.23173189163,-0.993788719177
2017-06-25 10:30:00,0.0,0.0,0.0,0.0,290.083770752,1.31264340878,-1.03907358646
2017-06-25 10:45:00,0.0,0.0,0.0,0.0,290.079376221,1.23402798176,-1.11134254932
2017-06-25 11:00:00,0.0,0.0,0.0,0.0,290.070465088,1.10529339314,-1.08284342289
2017-06-25 11:15:00,0.0,0.0,0.0,0.0,290.074676514,0.945190727711,-1.16478478909
2017-06-25 11:30:00,0.0,0.0,0.0,0.0,290.090270996,0.971444189548,-1.24759912491
2017-06-25 11:45:00,0.0,0.0,0.0,0.0,290.087646484,1.04704737663,-1.12792289257
2017-06-25 12:00:00,0.0,0.0,0.0,0.0,290.073822021,1.11288452148,-1.04831600189
2017-06-25 12:15:00,0.0,0.0,0.0,0.0,290.05291748,1.07463121414,-1.10263049603
2017-06-25 12:30:00,0.0,0.0,0.0,0.0,290.050323486,1.19412660599,-1.26260447502
2017-06-25 12:45:00,0.0,0.0,0.0,0.0,290.044128418,1.30769062042,-1.3258408308
2017-06-25 13:00:00,12.8096942902,1.01374848782e-06,14.2949619293,17.792634964,290.061584473,1.35652709007,-1.36115145683
2017-06-25 13:15:00,34.1552505493,0.0891046822071,36.5924186707,50.3358383179,290.110992432,1.29541766644,-1.42396068573
2017-06-25 13:30:00,62.4199371338,3.51011919975,63.2169494629,90.0903396606,290.170288086,1.08494341373,-1.42616522312
2017-06-25 13:45:00,100.091156006,60.409034729,88.4987182617,135.06803894,290.274169922,0.895657539368,-1.40000903606
2017-06-25 14:00:00,152.097229004,205.607818604,102.134887695,183.638580322,290.462677002,0.749970197678,-1.40161848068
2017-06-25 14:15:00,226.396362305,486.262939453,83.4457550049,234.656356812,290.733581543,0.704325437546,-1.27725112438
2017-06-25 14:30:00,287.223205566,605.206359863,78.6607818604,287.283966064,291.169464111,0.818259060383,-1.15797364712
2017-06-25 14:45:00,340.719726562,646.088989258,85.7192306519,340.78414917,291.673248291,1.01870334148,-1.19772565365
2017-06-25 15:00:00,394.517883301,680.869384766,92.234588623,394.585540771,292.174133301,1.18658161163,-1.27971732616
2017-06-25 15:15:00,448.090332031,710.645141602,98.2776412964,448.160797119,292.706695557,1.27167737484,-1.34283995628
2017-06-25 15:30:00,501.012512207,736.329223633,103.901580811,501.085388184,293.266357422,1.28939676285,-1.41935741901
2017-06-25 15:45:00,552.956665039,758.713745117,109.143943787,553.031799316,293.884521484,1.35088026524,-1.50385022163
2017-06-25 16:00:00,603.53326416,778.254943848,114.031494141,603.610290527,294.503936768,1.5474499464,-1.5823019743
2017-06-25 16:15:00,652.491455078,795.478027344,118.584915161,652.570251465,295.064666748,1.83073031902,-1.69750332832
2017-06-25 16:30:00,699.474853516,810.62097168,122.816703796,699.555175781,295.430053711,2.03034257889,-1.78794503212
2017-06-25 16:45:00,744.16418457,823.902099609,126.731048584,744.245910645,295.752960205,2.14849495888,-1.87453305721
2017-06-25 17:00:00,786.297485352,835.54095459,130.33253479,786.380493164,296.076599121,2.24244308472,-1.9428602457
2017-06-25 17:15:00,825.671203613,845.761047363,133.625427246,825.755310059,296.406402588,2.36998176575,-2.01803231239
2017-06-25 17:30:00,862.016845703,854.648803711,136.609954834,862.101928711,296.726623535,2.51180028915,-2.10495376587
2017-06-25 17:45:00,895.110839844,862.30279541,139.28465271,895.196777344,297.072113037,2.64682984352,-2.23889541626
2017-06-25 18:00:00,924.79510498,868.847900391,141.651229858,924.881713867,297.449005127,2.76403546333,-2.36681556702
2017-06-25 18:15:00,951.10723877,874.567993164,143.720581055,951.194519043,297.810180664,2.87621688843,-2.42194914818
2017-06-25 18:30:00,974.037475586,879.652282715,145.495010376,974.125366211,298.07244873,3.05576467514,-2.46679806709
2017-06-25 18:45:00,987.318359375,882.640991211,146.510162354,987.406616211,298.199676514,3.23106455803,-2.53937101364
2017-06-25 19:00:00,1004.2322998,886.62322998,147.789413452,1004.32092285,298.229797363,3.36788105965,-2.62741875648
2017-06-25 19:15:00,1017.45666504,890.030822754,148.7709198,1017.5456543,298.24395752,3.43326568604,-2.73093342781
2017-06-25 19:30:00,1026.7755127,892.746887207,149.444152832,1026.86474609,298.282653809,3.46739315987,-2.82108855247
2017-06-25 19:45:00,1031.77478027,894.433532715,149.795593262,1031.86425781,298.335845947,3.43964147568,-2.88794922829
2017-06-25 20:00:00,1032.56591797,895.241638184,149.828567505,1032.65539551,298.377807617,3.4584980011,-2.92412948608
2017-06-25 20:15:00,1029.31445312,895.341369629,149.549438477,1029.40393066,298.411132812,3.4962375164,-2.94304656982
2017-06-25 20:30:00,1021.98150635,894.671691895,148.959396362,1022.07092285,298.427581787,3.50291275978,-2.92651963234
2017-06-25 20:45:00,1010.5526123,893.165771484,148.05871582,1010.64190674,298.426239014,3.44310450554,-2.85273766518
2017-06-25 21:00:00,995.108947754,890.828308105,146.844329834,995.197875977,298.404052734,3.36380505562,-2.77412700653
2017-06-25 21:15:00,975.726196289,887.622192383,145.317749023,975.81463623,298.360015869,3.35069084167,-2.73045349121
2017-06-25 21:30:00,952.488708496,883.485656738,143.480102539,952.576660156,298.253173828,3.38716483116,-2.69185614586
2017-06-25 21:45:00,925.518249512,878.367797852,141.327682495,925.605651855,298.094360352,3.39418053627,-2.65347361565
2017-06-25 22:00:00,894.972900391,872.207763672,138.868453979,895.059570312,297.955291748,3.35910892487,-2.61518836021
2017-06-25 22:15:00,860.932128906,864.824035645,136.099914551,861.017944336,297.816864014,3.32565546036,-2.59452033043
