,SWDOWN,SWDDNI,SWDDIF,SWDOWN_CLEAR,T2,U10,V10
2016-08-13 06:00:00,0.0,0.0,0.0,0.0,294.291320801,0.773727357388,-1.37683463097
2016-08-13 06:15:00,0.0,0.0,0.0,0.0,293.406738281,0.83203959465,-1.2103574276
2016-08-13 06:30:00,0.0,0.0,0.0,0.0,293.438903809,0.805214643478,-1.30476593971
2016-08-13 06:45:00,0.0,0.0,0.0,0.0,293.439575195,0.800354957581,-1.43046712875
2016-08-13 07:00:00,0.0,0.0,0.0,0.0,293.451263428,0.7300593853,-1.38874852657
2016-08-13 07:15:00,0.0,0.0,0.0,0.0,293.434173584,0.972006380558,-1.3692125082
2016-08-13 07:30:00,0.0,0.0,0.0,0.0,293.394897461,1.29053413868,-1.3142529726
2016-08-13 07:45:00,0.0,0.0,0.0,0.0,293.346282959,1.42398011684,-1.57802581787
2016-08-13 08:00:00,0.0,0.0,0.0,0.0,293.278533936,1.56804299355,-1.49416470528
2016-08-13 08:15:00,0.0,0.0,0.0,0.0,293.203704834,1.63447272778,-1.23389649391
2016-08-13 08:30:00,0.0,0.0,0.0,0.0,293.142303467,1.5628734827,-1.45886313915
2016-08-13 08:45:00,0.0,0.0,0.0,0.0,293.077941895,1.8036699295,-1.49948167801
2016-08-13 09:00:00,0.0,0.0,0.0,0.0,292.990234375,1.89770269394,-1.55478096008
2016-08-13 09:15:00,0.0,0.0,0.0,0.0,292.906524658,1.88009047508,-1.67718040943
2016-08-13 09:30:00,0.0,0.0,0.0,0.0,292.821105957,1.7932934761,-1.78114581108
2016-08-13 09:45:00,0.0,0.0,0.0,0.0,292.752044678,1.80021953583,-1.77349543571
2016-08-13 10:00:00,0.0,0.0,0.0,0.0,292.689361572,1.82293653488,-1.75842535496
2016-08-13 10:15:00,0.0,0.0,0.0,0.0,292.656860352,1.81629014015,-1.73664057255
2016-08-13 10:30:00,0.0,0.0,0.0,0.0,292.642547607,1.77720224857,-1.77838504314
2016-08-13 10:45:00,0.0,0.0,0.0,0.0,292.641326904,1.69102823734,-1.82440268993
