,SWDOWN,SWDDNI,SWDDIF,SWDOWN_CLEAR,T2,U10,V10
2016-07-06 06:00:00,0.0,0.0,0.0,0.0,292.237335205,0.893164217472,-1.19983935356
2016-07-06 06:15:00,0.0,0.0,0.0,0.0,291.399841309,0.518660485744,-0.85927850008
2016-07-06 06:30:00,0.0,0.0,0.0,0.0,291.488342285,0.341612011194,-0.858458280563
2016-07-06 06:45:00,0.0,0.0,0.0,0.0,291.493682861,-0.156360328197,-0.844075202942
2016-07-06 07:00:00,0.0,0.0,0.0,0.0,291.500366211,-0.196764662862,-0.652072012424
2016-07-06 07:15:00,0.0,0.0,0.0,0.0,291.549926758,-0.273324966431,-0.771591544151
2016-07-06 07:30:00,0.0,0.0,0.0,0.0,291.513122559,-0.177209451795,-0.501675128937
2016-07-06 07:45:00,0.0,0.0,0.0,0.0,291.339050293,-0.123160861433,-0.751361489296
2016-07-06 08:00:00,0.0,0.0,0.0,0.0,291.23538208,0.514589488506,-0.308428108692
2016-07-06 08:15:00,0.0,0.0,0.0,0.0,291.1590271,0.516113042831,-0.546437382698
2016-07-06 08:30:00,0.0,0.0,0.0,0.0,291.072998047,0.850944042206,-0.520645320415
2016-07-06 08:45:00,0.0,0.0,0.0,0.0,290.969726562,1.67282748222,-0.641502737999
2016-07-06 09:00:00,0.0,0.0,0.0,0.0,290.862060547,1.14298570156,-0.952404618263
2016-07-06 09:15:00,0.0,0.0,0.0,0.0,290.779510498,1.95289230347,-1.12435042858
2016-07-06 09:30:00,0.0,0.0,0.0,0.0,290.629882812,2.32156062126,-0.959178507328
2016-07-06 09:45:00,0.0,0.0,0.0,0.0,290.491577148,2.24802827835,-1.14242720604
2016-07-06 10:00:00,0.0,0.0,0.0,0.0,290.36227417,2.27980494499,-1.08765661716
2016-07-06 10:15:00,0.0,0.0,0.0,0.0,290.227935791,2.29609966278,-1.05791449547
2016-07-06 10:30:00,0.0,0.0,0.0,0.0,290.126434326,2.18914055824,-1.16931080818
2016-07-06 10:45:00,0.0,0.0,0.0,0.0,290.018737793,1.99200809002,-0.9650811553
2016-07-06 11:00:00,0.0,0.0,0.0,0.0,289.939605713,1.85828399658,-1.01084828377
2016-07-06 11:15:00,0.0,0.0,0.0,0.0,289.851470947,1.91736769676,-1.26521909237
2016-07-06 11:30:00,0.0,0.0,0.0,0.0,289.752746582,1.74953496456,-1.28610980511
2016-07-06 11:45:00,0.0,0.0,0.0,0.0,289.832611084,1.72699606419,-1.24180650711
2016-07-06 12:00:00,0.0,0.0,0.0,0.0,290.057281494,1.527821064,-1.06434977055
2016-07-06 12:15:00,0.0,0.0,0.0,0.0,290.205413818,1.23701190948,-0.859847545624
2016-07-06 12:30:00,0.0,0.0,0.0,0.0,290.319335938,1.10209608078,-0.770811796188
2016-07-06 12:45:00,0.0,0.0,0.0,0.0,290.342773438,1.15451896191,-0.849447965622
2016-07-06 13:00:00,6.73159980774,0.0,7.76257133484,9.11946105957,290.340667725,1.28520274162,-0.882956504822
2016-07-06 13:15:00,29.0205421448,0.100328966975,31.0793418884,39.5211448669,290.326599121,1.38184726238,-0.863846063614
2016-07-06 13:30:00,61.4307289124,48.0921859741,55.4483757019,78.3081817627,290.364685059,1.30438172817,-0.791832208633
2016-07-06 13:45:00,103.881278992,176.038192749,72.953918457,122.973464966,290.468078613,1.30805599689,-0.740685641766
2016-07-06 14:00:00,153.158447266,299.181915283,85.2082748413,171.694625854,290.566802979,1.23647296429,-0.710567474365
2016-07-06 14:15:00,205.144821167,392.055084229,95.9691009521,223.136672974,290.662567139,1.1807564497,-0.704888820648
2016-07-06 14:30:00,259.634185791,470.722290039,104.525909424,276.29574585,290.752593994,1.11936831474,-0.684561908245
2016-07-06 14:45:00,316.145019531,541.654602051,110.30657959,330.424865723,290.834716797,1.0327334404,-0.617012619972
2016-07-06 15:00:00,375.508758545,618.151489258,109.846496582,384.83026123,290.932312012,1.00103640556,-0.533301830292
2016-07-06 15:15:00,438.99710083,713.744140625,97.4387130737,439.067810059,291.065093994,1.01847267151,-0.469136416912
