,SWDOWN,SWDDNI,SWDDIF,SWDOWN_CLEAR,T2,U10,V10
2016-08-01 06:00:00,0.0,0.0,0.0,0.0,294.732727051,0.346106827259,-0.300759851933
2016-08-01 06:15:00,0.0,0.0,0.0,0.0,294.133392334,0.377019912004,-0.122204720974
2016-08-01 06:30:00,0.0,0.0,0.0,0.0,294.217590332,0.427205622196,-0.103329919279
2016-08-01 06:45:00,0.0,0.0,0.0,0.0,294.243835449,0.207080811262,-0.125216186047
2016-08-01 07:00:00,0.0,0.0,0.0,0.0,294.288879395,0.0688026472926,-0.0991755276918
2016-08-01 07:15:00,0.0,0.0,0.0,0.0,294.358764648,0.285019725561,-0.106109760702
2016-08-01 07:30:00,0.0,0.0,0.0,0.0,294.363342285,0.779156267643,-0.274319797754
2016-08-01 07:45:00,0.0,0.0,0.0,0.0,294.323059082,0.999673128128,-0.469818800688
2016-08-01 08:00:00,0.0,0.0,0.0,0.0,294.243103027,1.28019356728,-0.482582062483
2016-08-01 08:15:00,0.0,0.0,0.0,0.0,294.133758545,1.41427707672,-0.505346298218
2016-08-01 08:30:00,0.0,0.0,0.0,0.0,293.995574951,1.66126036644,-0.767129898071
2016-08-01 08:45:00,0.0,0.0,0.0,0.0,293.81552124,1.81763935089,-0.630635380745
2016-08-01 09:00:00,0.0,0.0,0.0,0.0,293.633453369,1.96234190464,-0.750448524952
2016-08-01 09:15:00,0.0,0.0,0.0,0.0,293.456695557,1.90332365036,-0.756962358952
2016-08-01 09:30:00,0.0,0.0,0.0,0.0,293.305541992,1.82960891724,-0.852739572525
2016-08-01 09:45:00,0.0,0.0,0.0,0.0,293.169677734,1.65372228622,-0.817716360092
2016-08-01 10:00:00,0.0,0.0,0.0,0.0,293.071502686,1.65676498413,-0.62390857935
2016-08-01 10:15:00,0.0,0.0,0.0,0.0,292.994262695,1.64489901066,-0.764354765415
2016-08-01 10:30:00,0.0,0.0,0.0,0.0,292.91796875,1.53296101093,-0.880009293556
2016-08-01 10:45:00,0.0,0.0,0.0,0.0,292.850097656,1.47039079666,-0.726016044617
2016-08-01 11:00:00,0.0,0.0,0.0,0.0,292.807312012,1.50777482986,-0.548614621162
2016-08-01 11:15:00,0.0,0.0,0.0,0.0,292.796112061,1.40000116825,-0.497622638941
2016-08-01 11:30:00,0.0,0.0,0.0,0.0,292.832336426,1.16605234146,-0.293802201748
2016-08-01 11:45:00,0.0,0.0,0.0,0.0,292.845855713,1.20917379856,-0.23119546473
2016-08-01 12:00:00,0.0,0.0,0.0,0.0,292.852996826,1.14551723003,-0.28762498498
2016-08-01 12:15:00,0.0,0.0,0.0,0.0,292.842956543,1.06486189365,-0.264227926731
2016-08-01 12:30:00,0.0,0.0,0.0,0.0,292.827545166,1.02672922611,-0.12512537837
2016-08-01 12:45:00,0.0,0.0,0.0,0.0,292.827423096,1.05531144142,-0.0499917641282
2016-08-01 13:00:00,0.0,0.0,0.0,0.0,292.827331543,1.06887054443,-0.0536014772952
2016-08-01 13:15:00,4.36377048492,0.0,5.16164493561,5.40441274643,292.822784424,1.00971853733,0.000177005582373
2016-08-01 13:30:00,24.0971851349,0.00771174905822,26.1664714813,34.0978126526,292.827392578,0.996058940887,0.0599874407053
2016-08-01 13:45:00,48.9739570618,0.792280256748,51.4257583618,72.1027450562,292.844482422,1.00475358963,0.0364690460265
2016-08-01 14:00:00,79.5390014648,5.61960363388,79.5411987305,116.447463989,292.871063232,0.965737581253,-0.00252965814434
2016-08-01 14:15:00,115.245857239,29.8173065186,108.460975647,165.101119995,292.922027588,0.950988352299,-0.0201599523425
2016-08-01 14:30:00,157.674209595,76.1611022949,136.322280884,216.534606934,292.990661621,0.9667750597,-0.00727965310216
2016-08-01 14:45:00,210.448364258,158.938674927,157.579971313,269.711883545,293.050140381,0.922263264656,0.00838536582887
2016-08-01 15:00:00,259.312316895,203.387161255,181.178253174,323.776672363,293.129943848,0.87906396389,-0.0408929511905
2016-08-01 15:15:00,315.820739746,274.040863037,196.690765381,378.074127197,293.278167725,0.950049042702,-0.0868175178766
2016-08-01 15:30:00,383.442382812,392.614013672,193.390808105,432.106628418,293.412628174,0.997287511826,-0.0600539296865
2016-08-01 15:45:00,450.277069092,502.983276367,182.689941406,485.350494385,293.573516846,1.03912723064,-0.0113227311522
2016-08-01 16:00:00,516.561340332,612.37512207,162.483581543,537.251220703,293.762420654,1.13328945637,0.00948857422918
2016-08-01 16:15:00,583.760437012,737.446533203,124.731452942,587.443603516,293.999603271,1.26553738117,0.00774115230888
2016-08-01 16:30:00,635.47668457,778.2109375,118.343299866,635.554260254,294.265350342,1.43783175945,0.0125001072884
2016-08-01 16:45:00,681.510131836,793.322631836,122.612098694,681.589233398,294.560638428,1.61374592781,0.0665200203657
2016-08-01 17:00:00,725.329101562,806.574157715,126.56375885,725.409667969,294.838134766,1.7925516367,0.126912102103
2016-08-01 17:15:00,766.404541016,818.092346191,130.179992676,766.48626709,295.108428955,1.96484005451,0.176799505949
2016-08-01 17:30:00,804.467041016,828.112609863,133.45954895,804.549926758,295.359283447,2.11693787575,0.213256210089
2016-08-01 17:45:00,839.313659668,836.778442383,136.407531738,839.397399902,295.57598877,2.23607158661,0.251812189817
2016-08-01 18:00:00,870.680664062,844.201477051,139.019180298,870.765380859,295.775787354,2.33821320534,0.274842947721
2016-08-01 18:15:00,898.41217041,850.450378418,141.300384521,898.497558594,295.97177124,2.45352005959,0.282802641392
2016-08-01 18:30:00,922.54107666,855.642089844,143.261062622,922.627075195,296.134002686,2.59613537788,0.277475714684
2016-08-01 18:45:00,942.871032715,859.903137207,144.886947632,942.957458496,296.276672363,2.70156788826,0.251271992922
2016-08-01 19:00:00,959.061157227,863.101257324,146.179519653,959.147949219,296.424865723,2.77797102928,0.26569890976
2016-08-01 19:15:00,971.263122559,865.391479492,147.150604248,971.350219727,296.56817627,2.86709189415,0.29499566555
2016-08-01 19:30:00,977.038146973,866.405151367,147.610290527,977.125366211,296.704376221,2.94072461128,0.314300388098
2016-08-01 19:45:00,982.21282959,867.203735352,148.023086548,982.300109863,296.82711792,3.04462265968,0.315798193216
2016-08-01 20:00:00,983.191650391,867.159912109,148.101715088,983.278991699,296.903839111,3.11976456642,0.312866270542
2016-08-01 20:15:00,980.02142334,866.312438965,147.850891113,980.108642578,296.957336426,3.21070361137,0.295852541924
2016-08-01 20:30:00,972.718811035,864.667541504,147.270751953,972.805908203,296.98336792,3.29482364655,0.268634498119
2016-08-01 20:45:00,961.294128418,862.173583984,146.364837646,961.380859375,296.988769531,3.35458827019,0.246954753995
2016-08-01 21:00:00,945.817199707,858.815063477,145.131362915,945.903503418,296.973144531,3.41234016418,0.235682696104
2016-08-01 21:15:00,926.295349121,854.475463867,143.568344116,926.381225586,296.927124023,3.41815924644,0.226226344705
2016-08-01 21:30:00,902.983276367,849.267089844,141.677108765,903.06854248,296.869781494,3.39965367317,0.219605728984
2016-08-01 21:45:00,875.932678223,843.051330566,139.454666138,876.017272949,296.806488037,3.38897037506,0.192821711302
2016-08-01 22:00:00,845.267456055,835.716247559,136.906906128,845.351196289,296.732055664,3.38876390457,0.165806591511
2016-08-01 22:15:00,811.165405273,827.172912598,134.033691406,811.24822998,296.637786865,3.37084698677,0.147705554962
2016-08-01 22:30:00,773.831359863,817.322143555,130.83114624,773.913085938,296.526855469,3.33986949921,0.153156206012
2016-08-01 22:45:00,733.49810791,806.045715332,127.297859192,733.578674316,296.402984619,3.27492952347,0.162437140942
2016-08-01 23:00:00,690.366333008,793.124938965,123.428367615,690.44543457,296.281707764,3.21821522713,0.163195282221
2016-08-01 23:15:00,644.675598145,778.312927246,119.217147827,644.753234863,296.160461426,3.1632938385,0.158422768116
2016-08-01 23:30:00,596.686584473,761.299865723,114.65397644,596.762451172,296.033660889,3.14906144142,0.154914289713
2016-08-01 23:45:00,546.743225098,741.797180176,109.724662781,546.817138672,295.883209229,3.17616558075,0.168895691633
2016-08-02 00:00:00,495.171295166,719.353210449,104.408958435,495.242950439,295.696838379,3.19284009933,0.143188327551
2016-08-02 00:15:00,442.345916748,693.428222656,98.6785888672,442.415130615,295.501617432,3.16848158836,0.118678420782
2016-08-02 00:30:00,388.395080566,661.314147949,93.1028671265,388.726654053,295.269897461,3.11074566841,0.10721013695
2016-08-02 00:45:00,318.474304199,511.942626953,115.652915955,334.649597168,295.01171875,3.02150058746,0.119298331439
2016-08-02 01:00:00,239.572570801,283.078460693,141.967803955,280.698638916,294.777404785,2.94328069687,0.119721122086
2016-08-02 01:15:00,160.970687866,56.5282707214,144.430374146,227.479614258,294.543365479,2.82567715645,0.102144725621
2016-08-02 01:30:00,115.460235596,8.62802600861,114.111412048,175.759735107,294.366668701,2.61158704758,0.0809779241681
2016-08-02 01:45:00,78.3499679565,1.37730109692,81.460723877,126.558403015,294.20401001,2.41675567627,0.0624360367656
2016-08-02 02:00:00,58.4095306396,0.266328036785,61.6977996826,95.813911438,294.062469482,2.27223324776,0.035210955888
2016-08-02 02:15:00,33.8387680054,0.00647573638707,36.440662384,54.1580619812,293.916656494,2.11625266075,0.0110898632556
2016-08-02 02:30:00,12.9853620529,0.0,14.5652770996,19.812330246,293.780517578,1.99189448357,-0.00782946310937
2016-08-02 02:45:00,0.0,0.0,0.0,0.0,293.638336182,1.89176428318,-0.0296625141054
2016-08-02 03:00:00,0.0,0.0,0.0,0.0,293.528167725,1.77307546139,-0.0311022847891
2016-08-02 03:15:00,0.0,0.0,0.0,0.0,293.451385498,1.68683743477,0.00395956356078
2016-08-02 03:30:00,0.0,0.0,0.0,0.0,293.410095215,1.62056005001,0.00759543245658
2016-08-02 03:45:00,0.0,0.0,0.0,0.0,293.383056641,1.59432196617,-0.0121235353872
2016-08-02 04:00:00,0.0,0.0,0.0,0.0,293.354644775,1.58560633659,-0.0195005685091
2016-08-02 04:15:00,0.0,0.0,0.0,0.0,293.337799072,1.57016253471,0.0111416149884
2016-08-02 04:30:00,0.0,0.0,0.0,0.0,293.266937256,1.54880130291,0.087343916297
2016-08-02 04:45:00,0.0,0.0,0.0,0.0,293.209259033,1.48728191853,0.148573353887
2016-08-02 05:00:00,0.0,0.0,0.0,0.0,293.162780762,1.41302657127,0.175525024533
2016-08-02 05:15:00,0.0,0.0,0.0,0.0,293.124176025,1.33386969566,0.170849218965
2016-08-02 05:30:00,0.0,0.0,0.0,0.0,293.091674805,1.27692735195,0.139026686549
2016-08-02 05:45:00,0.0,0.0,0.0,0.0,293.062591553,1.24953758717,0.117474213243
2016-08-02 06:00:00,0.0,0.0,0.0,0.0,293.033935547,1.18936920166,0.0900084152818
2016-08-02 06:15:00,0.0,0.0,0.0,0.0,293.001068115,1.11224019527,0.0818515494466
2016-08-02 06:30:00,0.0,0.0,0.0,0.0,292.971740723,1.07293367386,0.0819692090154
2016-08-02 06:45:00,0.0,0.0,0.0,0.0,292.935882568,1.03148090839,0.0972992554307
2016-08-02 07:00:00,0.0,0.0,0.0,0.0,292.911834717,0.97322589159,0.101641431451
2016-08-02 07:15:00,0.0,0.0,0.0,0.0,292.90234375,0.974103808403,0.098787792027
2016-08-02 07:30:00,0.0,0.0,0.0,0.0,292.907531738,1.05328416824,0.0435753315687
2016-08-02 07:45:00,0.0,0.0,0.0,0.0,292.903961182,1.16099488735,-0.00581661053002
2016-08-02 08:00:00,0.0,0.0,0.0,0.0,292.882873535,1.24715983868,-0.00550485216081
2016-08-02 08:15:00,0.0,0.0,0.0,0.0,292.852935791,1.33861100674,-0.0611438900232
2016-08-02 08:30:00,0.0,0.0,0.0,0.0,292.807983398,1.44398796558,-0.108091637492
2016-08-02 08:45:00,0.0,0.0,0.0,0.0,292.754577637,1.43829476833,-0.153453469276
2016-08-02 09:00:00,0.0,0.0,0.0,0.0,292.706695557,1.42473983765,-0.202460557222
2016-08-02 09:15:00,0.0,0.0,0.0,0.0,292.660247803,1.40555405617,-0.27140045166
2016-08-02 09:30:00,0.0,0.0,0.0,0.0,292.610687256,1.38431382179,-0.414888679981
2016-08-02 09:45:00,0.0,0.0,0.0,0.0,292.55065918,1.31352806091,-0.492173552513
2016-08-02 10:00:00,0.0,0.0,0.0,0.0,292.497680664,1.17523992062,-0.491673707962
2016-08-02 10:15:00,0.0,0.0,0.0,0.0,292.46786499,1.09214496613,-0.518443107605
2016-08-02 10:30:00,0.0,0.0,0.0,0.0,292.450836182,1.09872448444,-0.612673342228
2016-08-02 10:45:00,0.0,0.0,0.0,0.0,292.426940918,1.1042727232,-0.654685616493
2016-08-02 11:00:00,0.0,0.0,0.0,0.0,292.403106689,1.09646046162,-0.615165889263
2016-08-02 11:15:00,0.0,0.0,0.0,0.0,292.389190674,1.11060798168,-0.627309203148
2016-08-02 11:30:00,0.0,0.0,0.0,0.0,292.379211426,1.14725244045,-0.675179839134
2016-08-02 11:45:00,0.0,0.0,0.0,0.0,292.364837646,1.18713986874,-0.676996946335
2016-08-02 12:00:00,0.0,0.0,0.0,0.0,292.348083496,1.21839749813,-0.648566842079
2016-08-02 12:15:00,0.0,0.0,0.0,0.0,292.330444336,1.20900118351,-0.633329033852
2016-08-02 12:30:00,0.0,0.0,0.0,0.0,292.322753906,1.15319859982,-0.573677539825
2016-08-02 12:45:00,0.0,0.0,0.0,0.0,292.335235596,1.15436089039,-0.534075140953
2016-08-02 13:00:00,0.0,0.0,0.0,0.0,292.341064453,1.18716144562,-0.542403399944
2016-08-02 13:15:00,3.50317049026,0.0,4.56354284286,9.3346118927,292.340545654,1.24880874157,-0.551847875118
2016-08-02 13:30:00,13.9366359711,0.0,16.1707324982,40.078994751,292.336029053,1.29920256138,-0.551007986069
2016-08-02 13:45:00,26.7596168518,0.0,29.8688144684,79.3459014893,292.330749512,1.30509233475,-0.556750178337
2016-08-02 14:00:00,41.2729492188,2.40894905801e-07,45.1235656738,124.584220886,292.337860107,1.2931381464,-0.569261014462
2016-08-02 14:15:00,57.8546142578,2.02466180781e-05,62.3717689514,173.841171265,292.354278564,1.24855864048,-0.57187306881
2016-08-02 14:30:00,70.4366760254,0.00018016670947,75.3613739014,208.186660767,292.383148193,1.20115280151,-0.566699981689
2016-08-02 14:45:00,91.8167495728,0.00234054261819,97.3222045898,261.171112061,292.417480469,1.18014001846,-0.546017765999
2016-08-02 15:00:00,116.273658752,0.0164378061891,122.30027771,315.172576904,292.466308594,1.16902124882,-0.521781921387
2016-08-02 15:15:00,144.497772217,0.0804230645299,150.975006104,369.520172119,292.529022217,1.16379952431,-0.504205524921
2016-08-02 15:30:00,179.506118774,0.359243541956,186.230209351,423.684173584,292.611694336,1.16404974461,-0.477609694004
2016-08-02 15:45:00,221.121002197,1.30718803406,227.378204346,477.154754639,292.729858398,1.21618330479,-0.439420610666
2016-08-02 16:00:00,268.252044678,3.69549131393,272.266326904,529.506530762,292.878753662,1.30784666538,-0.417092293501
2016-08-02 16:15:00,320.415466309,8.51866722107,318.797241211,580.37286377,293.050201416,1.43787038326,-0.406663537025
2016-08-02 16:30:00,374.651702881,17.779794693,362.937072754,629.402709961,293.230377197,1.58103215694,-0.387361377478
2016-08-02 16:45:00,434.317474365,42.092010498,404.877746582,676.244750977,293.419708252,1.73163962364,-0.348307996988
2016-08-02 17:00:00,496.333587646,75.8695602417,440.37387085,720.621826172,293.620513916,1.8982436657,-0.306287676096
2016-08-02 17:15:00,567.469177246,131.133117676,466.077453613,762.290405273,293.806274414,2.03371095657,-0.282110959291
2016-08-02 17:30:00,638.411132812,201.881576538,475.671539307,801.025939941,293.991516113,2.16781783104,-0.26836925745
2016-08-02 17:45:00,714.798217773,305.550933838,459.301208496,836.560241699,294.175598145,2.2772500515,-0.265240609646
2016-08-02 18:00:00,777.265258789,400.162750244,431.814178467,868.759460449,294.351867676,2.37878847122,-0.267808288336
2016-08-02 18:15:00,834.37298584,504.756835938,386.518005371,897.358581543,294.524536133,2.47485399246,-0.288714647293
2016-08-02 18:30:00,880.145690918,596.68939209,338.317443848,922.22454834,294.689422607,2.58697080612,-0.337638348341
2016-08-02 18:45:00,920.079467773,697.037414551,274.936676025,943.296142578,294.855010986,2.68814349174,-0.415071278811
2016-08-02 19:00:00,956.257873535,830.972290039,175.418823242,960.303955078,295.004943848,2.76790142059,-0.479272276163
2016-08-02 19:15:00,973.174194336,868.956848145,147.358123779,973.261474609,295.16784668,2.84694910049,-0.557972550392
2016-08-02 19:30:00,982.014465332,870.933959961,148.047424316,982.101989746,295.334442139,2.94089984894,-0.654222548008
2016-08-02 19:45:00,986.683044434,872.078369141,148.404815674,986.770874023,295.493530273,3.05018997192,-0.734061658382
2016-08-02 20:00:00,987.123413086,872.372680664,148.426071167,987.211181641,295.62197876,3.17531347275,-0.806126952171
2016-08-02 20:15:00,983.375244141,871.859680176,148.114334106,983.46295166,295.736206055,3.31404995918,-0.894621551037
2016-08-02 20:30:00,975.44921875,870.520812988,147.471450806,975.536743164,295.802276611,3.44723272324,-1.00847792625
2016-08-02 20:45:00,963.377502441,868.327209473,146.49949646,963.464782715,295.828857422,3.52937912941,-1.15227866173
2016-08-02 21:00:00,953.061889648,866.38458252,145.666381836,953.148986816,295.830841064,3.6002869606,-1.29315841198
2016-08-02 21:15:00,934.114318848,862.578735352,144.138748169,934.200866699,295.805084229,3.69511246681,-1.42466080189
