,SWDOWN,SWDDNI,SWDDIF,SWDOWN_CLEAR,T2,U10,V10
2016-07-09 06:00:00,0.0,0.0,0.0,0.0,292.16809082,-0.318164795637,-0.156354978681
2016-07-09 06:15:00,0.0,0.0,0.0,0.0,291.212097168,0.00781299266964,-0.0264703780413
2016-07-09 06:30:00,0.0,0.0,0.0,0.0,291.383636475,0.0717419609427,-0.0936893597245
2016-07-09 06:45:00,0.0,0.0,0.0,0.0,291.443634033,0.247753039002,-0.10837648809
2016-07-09 07:00:00,0.0,0.0,0.0,0.0,291.480926514,0.5644287467,-0.142067074776
2016-07-09 07:15:00,0.0,0.0,0.0,0.0,291.455780029,1.18412768841,-0.483403742313
2016-07-09 07:30:00,0.0,0.0,0.0,0.0,291.408203125,1.54945015907,-0.0374883078039
2016-07-09 07:45:00,0.0,0.0,0.0,0.0,291.344177246,1.67611825466,-0.463173270226
2016-07-09 08:00:00,0.0,0.0,0.0,0.0,291.235076904,1.95146381855,-0.0981738269329
2016-07-09 08:15:00,0.0,0.0,0.0,0.0,291.141571045,2.00021004677,-0.563280284405
2016-07-09 08:30:00,0.0,0.0,0.0,0.0,290.992401123,2.13564109802,-0.346493571997
2016-07-09 08:45:00,0.0,0.0,0.0,0.0,290.851470947,1.95878267288,-0.898592889309
2016-07-09 09:00:00,0.0,0.0,0.0,0.0,290.70703125,2.05527639389,-0.764727771282
2016-07-09 09:15:00,0.0,0.0,0.0,0.0,290.565368652,2.14734315872,-0.606826841831
2016-07-09 09:30:00,0.0,0.0,0.0,0.0,290.413879395,2.11050844193,-0.734198391438
2016-07-09 09:45:00,0.0,0.0,0.0,0.0,290.265411377,1.92179858685,-0.716919243336
2016-07-09 10:00:00,0.0,0.0,0.0,0.0,290.09274292,1.11821818352,-0.360913187265
2016-07-09 10:15:00,0.0,0.0,0.0,0.0,290.018371582,0.835975468159,-0.357484221458
2016-07-09 10:30:00,0.0,0.0,0.0,0.0,289.949462891,0.858900010586,-0.389062017202
2016-07-09 10:45:00,0.0,0.0,0.0,0.0,290.201782227,1.62843549252,-0.845117032528
2016-07-09 11:00:00,0.0,0.0,0.0,0.0,290.24395752,1.29039359093,-0.698455572128
2016-07-09 11:15:00,0.0,0.0,0.0,0.0,290.262329102,1.16041302681,-0.653656482697
2016-07-09 11:30:00,0.0,0.0,0.0,0.0,290.218658447,1.16293311119,-0.596136510372
2016-07-09 11:45:00,0.0,0.0,0.0,0.0,290.176971436,1.16597998142,-0.422219872475
2016-07-09 12:00:00,0.0,0.0,0.0,0.0,290.129150391,1.14760172367,-0.301324039698
2016-07-09 12:15:00,0.0,0.0,0.0,0.0,290.092285156,1.21964466572,-0.316223353148
2016-07-09 12:30:00,0.0,0.0,0.0,0.0,290.058074951,1.37644171715,-0.390643894672
2016-07-09 12:45:00,0.0,0.0,0.0,0.0,290.018463135,1.46986150742,-0.428599536419
2016-07-09 13:00:00,5.43208217621,0.0,6.30143165588,6.71967887878,289.988372803,1.34714055061,-0.431412637234
2016-07-09 13:15:00,26.3242931366,0.0326915122569,28.4196243286,36.512638092,289.962188721,1.19830322266,-0.42705860734
2016-07-09 13:30:00,53.8582801819,2.69449901581,54.6033401489,75.2462844849,289.956359863,1.03226947784,-0.334642320871
2016-07-09 13:45:00,89.4086074829,52.4318199158,80.4682388306,120.134078979,289.978607178,0.92698341608,-0.267786622047
2016-07-09 14:00:00,130.150177002,113.438545227,104.956764221,169.288406372,290.044677734,0.92429047823,-0.319501757622
2016-07-09 14:15:00,170.728912354,141.345275879,132.058776855,221.272277832,290.134643555,0.925830721855,-0.417350947857
2016-07-09 14:30:00,221.413604736,212.127609253,152.518508911,275.053985596,290.240753174,0.901970386505,-0.505362153053
2016-07-09 14:45:00,281.555084229,317.916870117,162.193771362,329.908050537,290.377349854,0.927809655666,-0.560131967068
2016-07-09 15:00:00,350.770507812,460.543792725,154.871582031,385.128936768,290.541992188,0.980222046375,-0.564784944057
2016-07-09 15:15:00,430.092437744,655.173461914,119.336723328,440.248565674,290.711425781,0.968990802765,-0.541478812695
2016-07-09 15:30:00,494.734100342,749.869934082,103.248924255,494.808135986,290.925384521,0.932947576046,-0.473814219236
2016-07-09 15:45:00,548.40411377,773.48425293,108.728088379,548.48046875,291.19934082,0.905856072903,-0.381092578173
2016-07-09 16:00:00,600.752319336,794.061035156,113.833496094,600.830749512,291.529205322,0.899168908596,-0.331725478172
2016-07-09 16:15:00,651.493347168,812.148742676,118.585922241,651.573486328,291.899230957,0.889722824097,-0.307960301638
2016-07-09 16:30:00,700.322509766,828.113342285,123.000709534,700.40435791,292.287139893,0.894762694836,-0.259367883205
2016-07-09 16:45:00,746.900756836,842.169616699,127.08833313,746.984008789,292.718536377,0.903586804867,-0.190621271729
2016-07-09 17:00:00,790.802490234,854.359191895,130.850646973,790.887145996,293.279327393,1.06145310402,-0.149926170707
2016-07-09 17:15:00,831.773498535,864.894592285,134.290420532,831.85925293,293.912506104,1.35906195641,-0.167176485062
2016-07-09 17:30:00,869.652099609,874.027893066,137.413208008,869.738891602,294.474761963,1.74423885345,-0.200905025005
2016-07-09 17:45:00,904.268920898,881.934936523,140.222976685,904.356567383,294.866149902,2.19818925858,-0.287280976772
2016-07-09 18:00:00,935.46673584,888.754821777,142.721054077,935.555236816,295.018096924,2.62983703613,-0.434281349182
2016-07-09 18:15:00,963.098510742,894.592773438,144.908782959,963.187683105,294.969909668,2.9574868679,-0.61688798666
2016-07-09 18:30:00,987.039428711,899.548706055,146.776809692,987.129089355,294.828552246,3.1466782093,-0.803844332695
2016-07-09 18:45:00,1000.88879395,902.392333984,147.843719482,1000.9788208,294.691101074,3.1975543499,-0.938561975956
2016-07-09 19:00:00,1018.38977051,905.965209961,149.18270874,1018.48016357,294.618438721,3.16480541229,-1.01947999001
2016-07-09 19:15:00,1031.89379883,908.751953125,150.206359863,1031.98461914,294.627655029,3.02121281624,-1.04202055931
2016-07-09 19:30:00,1041.29504395,910.744567871,150.91267395,1041.38598633,294.736938477,2.83798885345,-1.0118418932
2016-07-09 19:45:00,1046.48181152,911.903503418,151.29699707,1046.57299805,294.936676025,2.72216296196,-0.96893799305
