Date,Cloudy test,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,RMSE,CRMSE,BIAS,Rs,pval
5/17/14 12:00,2,5/8/14 12:00,8/11/16 12:00,8/9/16 12:00,8/8/16 12:00,8/7/16 12:00,8/6/16 12:00,8/5/16 12:00,8/4/16 12:00,7/25/16 12:00,7/22/16 12:00,7/21/16 12:00,7/18/16 12:00,7/17/16 12:00,7/16/16 12:00,7/15/16 12:00,54.91662055,46.94169384,-28.50109809,0.997598599,5.39E-55
5/18/14 12:00,2,6/24/14 12:00,5/12/15 12:00,6/4/15 12:00,6/7/16 12:00,6/8/16 12:00,6/20/15 12:00,5/24/14 12:00,6/3/14 12:00,5/28/14 12:00,6/7/17 12:00,8/19/14 12:00,6/16/17 12:00,6/16/16 12:00,7/25/14 12:00,6/22/15 12:00,69.01603019,62.03954063,-30.23752341,0.998003877,7.71E-57
5/19/14 12:00,2,6/5/15 12:00,9/3/16 12:00,6/6/15 12:00,7/16/15 12:00,6/27/14 12:00,6/15/16 12:00,9/19/17 12:00,6/9/17 12:00,6/26/14 12:00,8/8/15 12:00,6/25/14 12:00,8/9/16 12:00,5/3/15 12:00,5/13/15 12:00,6/16/14 12:00,60.59867833,60.56542774,2.00718176,0.996875723,2.27E-52
5/20/14 12:00,2,5/8/14 12:00,5/18/15 12:00,5/10/14 12:00,5/12/15 12:00,5/17/17 12:00,5/13/15 12:00,6/9/17 12:00,6/15/14 12:00,6/17/14 12:00,6/4/15 12:00,7/17/14 12:00,5/24/14 12:00,5/8/17 12:00,6/6/15 12:00,5/24/15 12:00,66.69206941,66.2370685,-7.777073925,0.996181439,2.28E-50
5/21/14 12:00,1,5/22/16 12:00,9/23/16 12:00,5/15/15 12:00,7/11/15 12:00,5/18/17 12:00,9/14/17 12:00,5/21/16 12:00,5/15/17 12:00,5/21/15 12:00,6/10/17 12:00,5/13/17 12:00,5/24/16 12:00,9/14/16 12:00,5/14/15 12:00,5/8/16 12:00,101.0072782,76.21703973,-66.2829775,0.999392424,1.03E-68
5/22/14 12:00,2,5/4/15 12:00,6/6/15 12:00,5/5/15 12:00,5/24/15 12:00,5/3/15 12:00,8/16/17 12:00,6/13/16 12:00,8/27/16 12:00,5/30/16 12:00,5/29/16 12:00,7/8/15 12:00,5/27/16 12:00,5/25/15 12:00,5/25/14 12:00,6/14/16 12:00,228.9340732,183.4483817,136.9580269,0.974744699,1.35E-31
5/23/14 12:00,1,5/10/17 12:00,6/1/17 12:00,5/5/16 12:00,9/15/17 12:00,5/15/16 12:00,6/28/14 12:00,6/12/16 12:00,5/9/15 12:00,9/17/17 12:00,7/22/15 12:00,7/9/15 12:00,9/16/17 12:00,9/5/16 12:00,9/3/15 12:00,5/26/14 12:00,76.24737219,69.97675963,30.28060232,0.986142853,1.54E-37
5/24/14 12:00,2,6/4/15 12:00,6/8/16 12:00,6/7/16 12:00,6/7/17 12:00,6/24/14 12:00,5/30/17 12:00,8/20/14 12:00,5/18/14 12:00,5/29/17 12:00,6/10/16 12:00,5/28/14 12:00,5/12/15 12:00,8/19/14 12:00,6/17/14 12:00,7/21/14 12:00,300.3846488,238.4974003,182.6196246,0.9701458,6.02E-30
5/25/14 12:00,2,6/7/14 12:00,6/11/14 12:00,6/10/14 12:00,6/12/14 12:00,5/3/15 12:00,6/1/16 12:00,5/29/14 12:00,5/27/14 12:00,6/1/15 12:00,6/23/14 12:00,5/29/15 12:00,5/30/16 12:00,6/29/14 12:00,5/14/16 12:00,5/25/15 12:00,87.36003522,72.81900602,-48.2614558,0.998264291,3.10E-58
5/26/14 12:00,1,6/28/14 12:00,9/9/17 12:00,6/1/17 12:00,9/3/15 12:00,9/5/14 12:00,8/7/14 12:00,5/23/14 12:00,7/9/16 12:00,7/9/15 12:00,7/29/17 12:00,5/10/17 12:00,7/23/15 12:00,6/18/17 12:00,5/27/17 12:00,7/12/17 12:00,74.48503322,60.28340512,-43.74849986,0.998958574,2.47E-63
5/27/14 12:00,2,6/29/14 12:00,6/10/14 12:00,7/1/17 12:00,6/4/17 12:00,6/23/14 12:00,8/26/17 12:00,8/13/17 12:00,7/2/14 12:00,7/3/14 12:00,6/12/14 12:00,5/29/15 12:00,9/2/16 12:00,6/7/14 12:00,8/24/17 12:00,6/3/17 12:00,65.96536155,55.08134873,-36.29702393,0.998148577,1.37E-57
5/28/14 12:00,2,6/16/17 12:00,6/21/14 12:00,9/10/16 12:00,9/7/17 12:00,6/10/16 12:00,6/8/16 12:00,7/4/17 12:00,8/29/16 12:00,7/5/17 12:00,6/25/15 12:00,8/24/16 12:00,6/2/14 12:00,7/8/14 12:00,8/22/17 12:00,9/23/14 12:00,20.62878312,20.62775215,0.206237679,0.99942143,3.34E-69
5/29/14 12:00,2,7/2/17 12:00,6/1/15 12:00,6/7/14 12:00,6/3/17 12:00,5/28/15 12:00,6/12/14 12:00,6/23/14 12:00,6/11/14 12:00,5/25/14 12:00,6/25/14 12:00,5/27/14 12:00,6/10/14 12:00,6/29/14 12:00,9/2/16 12:00,5/29/15 12:00,46.83480751,42.24882257,-20.21227812,0.99884286,2.78E-62
5/30/14 12:00,2,7/4/17 12:00,6/21/14 12:00,5/23/17 12:00,6/2/14 12:00,6/28/17 12:00,5/30/15 12:00,5/22/17 12:00,5/3/16 12:00,6/26/15 12:00,6/16/17 12:00,9/10/16 12:00,6/4/14 12:00,6/25/15 12:00,9/23/14 12:00,8/22/16 12:00,22.2616113,21.07188855,-7.180170633,0.999305716,2.21E-67
5/31/14 12:00,0,5/1/14 12:00,9/29/16 12:00,9/28/16 12:00,9/27/16 12:00,9/26/16 12:00,9/25/16 12:00,9/24/16 12:00,9/15/16 12:00,9/6/16 12:00,8/31/16 12:00,7/31/16 12:00,7/30/16 12:00,7/29/16 12:00,9/30/16 12:00,7/28/16 12:00,54.71665609,54.56702964,4.043727243,0.991928583,6.53E-43
6/1/14 12:00,2,5/8/14 12:00,8/11/16 12:00,8/9/16 12:00,8/8/16 12:00,8/7/16 12:00,8/6/16 12:00,8/5/16 12:00,8/4/16 12:00,7/25/16 12:00,7/22/16 12:00,7/21/16 12:00,7/18/16 12:00,7/17/16 12:00,7/16/16 12:00,7/15/16 12:00,41.19348079,38.36181184,-15.00913896,0.99884286,2.78E-62
6/2/14 12:00,2,6/21/14 12:00,6/25/15 12:00,6/28/17 12:00,6/5/14 12:00,7/28/15 12:00,5/30/14 12:00,6/6/14 12:00,7/14/15 12:00,8/30/14 12:00,8/10/17 12:00,7/13/16 12:00,7/4/17 12:00,8/3/15 12:00,6/26/15 12:00,7/3/15 12:00,17.71168818,17.64672019,-1.515640075,0.999537144,1.97E-71
6/3/14 12:00,2,6/17/14 12:00,6/15/14 12:00,6/16/17 12:00,6/7/17 12:00,6/8/16 12:00,6/4/14 12:00,6/22/15 12:00,6/24/14 12:00,6/20/15 12:00,6/7/16 12:00,9/16/16 12:00,6/10/16 12:00,6/16/16 12:00,6/5/14 12:00,9/29/17 12:00,47.58437478,38.4002255,-28.10151962,0.999190002,7.64E-66
6/4/14 12:00,2,8/5/14 12:00,6/16/17 12:00,9/23/14 12:00,6/3/14 12:00,9/16/16 12:00,5/30/14 12:00,8/17/16 12:00,6/5/14 12:00,6/27/15 12:00,7/4/17 12:00,7/13/15 12:00,6/21/14 12:00,9/7/17 12:00,9/10/16 12:00,6/2/14 12:00,27.92702021,25.20320322,-12.02983811,0.997107151,3.88E-53
6/5/14 12:00,2,7/3/17 12:00,6/17/17 12:00,6/2/14 12:00,6/28/17 12:00,6/6/14 12:00,6/21/14 12:00,6/25/15 12:00,6/5/16 12:00,7/13/16 12:00,7/28/15 12:00,7/14/15 12:00,7/21/17 12:00,6/14/14 12:00,5/30/14 12:00,6/10/16 12:00,36.51814538,31.66546865,-18.18991581,0.999537144,1.97E-71
6/6/14 12:00,2,6/14/14 12:00,7/13/16 12:00,6/23/14 12:00,6/23/16 12:00,6/22/14 12:00,6/28/17 12:00,6/29/17 12:00,6/16/14 12:00,7/14/15 12:00,6/12/14 12:00,8/19/17 12:00,7/8/16 12:00,7/28/15 12:00,5/5/17 12:00,6/29/14 12:00,54.24913747,54.21042899,-2.048976551,0.999074288,1.65E-64
6/7/14 12:00,2,6/12/14 12:00,6/23/14 12:00,6/11/14 12:00,5/25/14 12:00,5/29/14 12:00,9/2/16 12:00,5/29/15 12:00,6/10/14 12:00,5/27/14 12:00,6/29/14 12:00,6/22/14 12:00,6/1/15 12:00,6/8/14 12:00,6/29/17 12:00,8/14/17 12:00,18.84318227,18.44873409,-3.83532638,0.999768572,2.36E-78
6/8/14 12:00,2,6/1/16 12:00,6/23/14 12:00,7/7/15 12:00,6/29/14 12:00,6/12/14 12:00,6/7/14 12:00,5/27/14 12:00,5/4/17 12:00,6/29/17 12:00,6/2/17 12:00,6/22/14 12:00,6/13/14 12:00,7/1/17 12:00,5/29/15 12:00,8/14/17 12:00,45.60268518,39.34760179,-23.05148866,0.998813898,4.91E-62
6/9/14 12:00,2,6/3/16 12:00,6/22/17 12:00,6/17/15 12:00,6/21/17 12:00,6/8/15 12:00,6/20/17 12:00,6/18/15 12:00,6/23/17 12:00,6/5/16 12:00,6/16/15 12:00,6/25/17 12:00,6/24/16 12:00,6/4/17 12:00,6/29/16 12:00,6/4/16 12:00,119.9783804,112.6831088,41.19865009,0.987387179,1.79E-38
6/10/14 12:00,2,5/27/14 12:00,6/29/14 12:00,9/2/16 12:00,7/2/14 12:00,8/26/17 12:00,8/13/17 12:00,7/3/14 12:00,7/3/16 12:00,6/7/14 12:00,6/4/17 12:00,5/25/14 12:00,6/23/14 12:00,8/25/16 12:00,7/16/16 12:00,6/12/14 12:00,128.4456059,118.9199447,48.54194512,0.989122888,6.05E-40
6/11/14 12:00,2,6/7/14 12:00,5/25/14 12:00,8/26/16 12:00,9/2/16 12:00,5/29/14 12:00,6/10/14 12:00,6/12/14 12:00,8/20/15 12:00,6/23/14 12:00,6/1/16 12:00,6/23/17 12:00,7/2/17 12:00,8/7/16 12:00,5/27/14 12:00,6/29/14 12:00,68.12746129,57.66378914,-36.28000005,0.998380005,6.36E-59
6/12/14 12:00,2,6/23/14 12:00,6/22/14 12:00,6/7/14 12:00,8/14/17 12:00,6/14/14 12:00,8/20/17 12:00,6/29/17 12:00,6/29/14 12:00,5/3/15 12:00,6/16/14 12:00,5/29/15 12:00,7/16/15 12:00,5/27/14 12:00,7/1/17 12:00,7/7/16 12:00,39.13782535,34.78054269,-17.94667722,0.999190002,7.64E-66
6/13/14 12:00,2,9/9/16 12:00,6/8/14 12:00,9/11/16 12:00,7/7/15 12:00,8/21/17 12:00,6/12/14 12:00,5/4/17 12:00,6/22/14 12:00,6/23/14 12:00,6/6/16 12:00,8/14/17 12:00,6/14/14 12:00,6/29/17 12:00,8/20/17 12:00,5/12/16 12:00,37.09005181,36.76466829,-4.902153466,0.998611433,1.84E-60
6/14/14 12:00,2,6/16/14 12:00,6/29/17 12:00,6/22/14 12:00,6/12/14 12:00,6/6/14 12:00,6/23/14 12:00,8/14/17 12:00,8/20/17 12:00,5/3/15 12:00,7/16/15 12:00,8/19/17 12:00,6/29/14 12:00,7/27/15 12:00,7/1/17 12:00,8/15/17 12:00,60.56186343,47.89282692,-37.06772763,0.998958574,2.47E-63
6/15/14 12:00,2,6/17/14 12:00,6/3/14 12:00,5/12/15 12:00,5/10/14 12:00,6/24/14 12:00,9/16/16 12:00,6/9/17 12:00,7/3/17 12:00,6/15/16 12:00,6/5/14 12:00,6/14/14 12:00,6/4/14 12:00,6/7/17 12:00,6/10/16 12:00,6/6/14 12:00,38.13001671,38.10090998,-1.489574813,0.997541008,9.29E-55
6/16/14 12:00,2,6/14/14 12:00,6/29/17 12:00,5/3/15 12:00,8/20/17 12:00,6/12/14 12:00,8/14/17 12:00,6/22/14 12:00,6/23/14 12:00,7/16/15 12:00,8/15/17 12:00,6/6/14 12:00,7/8/15 12:00,7/1/17 12:00,7/27/15 12:00,8/19/17 12:00,61.25415663,49.61807457,-35.91821796,0.999190002,7.64E-66
6/17/14 12:00,2,6/15/14 12:00,6/3/14 12:00,5/12/15 12:00,6/16/16 12:00,9/16/16 12:00,5/10/14 12:00,6/8/16 12:00,7/13/15 12:00,6/7/17 12:00,6/4/14 12:00,6/24/14 12:00,6/10/16 12:00,6/9/17 12:00,7/26/15 12:00,6/16/17 12:00,43.08899678,35.30433481,-24.70355414,0.998495719,1.16E-59
6/18/14 12:00,0,8/17/17 12:00,6/2/16 12:00,9/24/17 12:00,9/6/16 12:00,5/2/15 12:00,6/19/14 12:00,5/21/17 12:00,9/29/14 12:00,6/14/17 12:00,9/15/16 12:00,9/24/16 12:00,5/20/17 12:00,8/29/14 12:00,6/27/17 12:00,6/12/17 12:00,9.686467087,7.480829801,-6.15344051,0.999652858,2.64E-74
6/19/14 12:00,0,6/14/17 12:00,9/24/16 12:00,6/26/17 12:00,5/21/17 12:00,6/2/16 12:00,9/25/16 12:00,6/27/17 12:00,6/18/14 12:00,9/6/16 12:00,9/29/16 12:00,8/17/14 12:00,9/25/17 12:00,8/17/17 12:00,9/12/14 12:00,9/11/14 12:00,10.72399855,8.793611027,-6.138122684,0.999652858,2.64E-74
6/20/14 12:00,1,7/6/17 12:00,5/3/17 12:00,7/16/17 12:00,6/18/17 12:00,8/17/15 12:00,7/17/17 12:00,5/18/17 12:00,8/28/16 12:00,7/4/14 12:00,7/9/16 12:00,8/13/16 12:00,9/17/16 12:00,8/21/16 12:00,7/19/16 12:00,6/23/15 12:00,24.95163426,19.70462294,-15.3072495,0.999537144,1.97E-71
6/21/14 12:00,2,6/2/14 12:00,6/25/15 12:00,5/30/14 12:00,6/28/17 12:00,7/4/17 12:00,8/30/14 12:00,8/10/17 12:00,7/28/15 12:00,5/28/14 12:00,9/10/16 12:00,6/5/14 12:00,7/8/14 12:00,5/23/17 12:00,7/14/15 12:00,5/30/15 12:00,17.14296665,15.63972441,-7.019994706,0.999537144,1.97E-71
6/22/14 12:00,2,8/14/17 12:00,6/12/14 12:00,6/23/14 12:00,6/14/14 12:00,8/20/17 12:00,6/29/17 12:00,8/19/17 12:00,7/16/15 12:00,6/29/14 12:00,6/16/14 12:00,7/27/15 12:00,6/6/14 12:00,7/10/14 12:00,7/8/16 12:00,6/23/16 12:00,28.10106618,25.05421573,-12.72620112,0.99942143,3.34E-69
6/23/14 12:00,2,6/12/14 12:00,6/29/14 12:00,6/22/14 12:00,8/14/17 12:00,6/29/17 12:00,6/7/14 12:00,8/20/17 12:00,6/14/14 12:00,5/27/14 12:00,8/13/17 12:00,8/19/17 12:00,6/6/14 12:00,7/1/17 12:00,9/2/16 12:00,5/29/15 12:00,27.5787441,27.45639372,2.594912356,0.999537144,1.97E-71
